"iso3c","year","LeftWing"
"AFG",1980,1
"AFG",1981,1
"AFG",1982,1
"AFG",1983,1
"AFG",1984,1
"AFG",1985,1
"AFG",1986,1
"AFG",1987,1
"AFG",1988,1
"AFG",1989,1
"AFG",1990,1
"AFG",1991,1
"AFG",1992,1
"AFG",1993,NA
"AFG",1994,NA
"AFG",1995,NA
"AFG",1996,NA
"AFG",1997,NA
"AFG",1998,NA
"AFG",1999,NA
"AFG",2000,NA
"AFG",2001,NA
"AFG",2002,NA
"AFG",2003,NA
"AFG",2004,NA
"AFG",2005,NA
"AFG",2006,NA
"AFG",2007,NA
"AFG",2008,NA
"AFG",2009,NA
"AFG",2010,NA
"AFG",2011,NA
"AFG",2012,NA
"AFG",2013,NA
"AFG",2014,NA
"AFG",2015,NA
"AFG",2016,NA
"AFG",2017,NA
"AGO",1980,1
"AGO",1981,1
"AGO",1982,1
"AGO",1983,1
"AGO",1984,1
"AGO",1985,1
"AGO",1986,1
"AGO",1987,1
"AGO",1988,1
"AGO",1989,1
"AGO",1990,1
"AGO",1991,1
"AGO",1992,1
"AGO",1993,1
"AGO",1994,1
"AGO",1995,1
"AGO",1996,1
"AGO",1997,1
"AGO",1998,1
"AGO",1999,1
"AGO",2000,1
"AGO",2001,1
"AGO",2002,1
"AGO",2003,1
"AGO",2004,1
"AGO",2005,1
"AGO",2006,1
"AGO",2007,1
"AGO",2008,1
"AGO",2009,1
"AGO",2010,1
"AGO",2011,1
"AGO",2012,1
"AGO",2013,1
"AGO",2014,1
"AGO",2015,1
"AGO",2016,1
"AGO",2017,1
"ALB",1980,1
"ALB",1981,1
"ALB",1982,1
"ALB",1983,1
"ALB",1984,1
"ALB",1985,1
"ALB",1986,1
"ALB",1987,1
"ALB",1988,1
"ALB",1989,1
"ALB",1990,1
"ALB",1991,1
"ALB",1992,1
"ALB",1993,NA
"ALB",1994,NA
"ALB",1995,NA
"ALB",1996,NA
"ALB",1997,NA
"ALB",1998,1
"ALB",1999,1
"ALB",2000,1
"ALB",2001,1
"ALB",2002,1
"ALB",2003,1
"ALB",2004,1
"ALB",2005,1
"ALB",2006,NA
"ALB",2007,NA
"ALB",2008,NA
"ALB",2009,NA
"ALB",2010,NA
"ALB",2011,NA
"ALB",2012,NA
"ALB",2013,NA
"ALB",2014,1
"ALB",2015,1
"ALB",2016,1
"ALB",2017,1
"ARE",1980,NA
"ARE",1981,NA
"ARE",1982,NA
"ARE",1983,NA
"ARE",1984,NA
"ARE",1985,NA
"ARE",1986,NA
"ARE",1987,NA
"ARE",1988,NA
"ARE",1989,NA
"ARE",1990,NA
"ARE",1991,NA
"ARE",1992,NA
"ARE",1993,NA
"ARE",1994,NA
"ARE",1995,NA
"ARE",1996,NA
"ARE",1997,NA
"ARE",1998,NA
"ARE",1999,NA
"ARE",2000,NA
"ARE",2001,NA
"ARE",2002,NA
"ARE",2003,NA
"ARE",2004,NA
"ARE",2005,NA
"ARE",2006,NA
"ARE",2007,NA
"ARE",2008,NA
"ARE",2009,NA
"ARE",2010,NA
"ARE",2011,NA
"ARE",2012,NA
"ARE",2013,NA
"ARE",2014,NA
"ARE",2015,NA
"ARE",2016,NA
"ARE",2017,NA
"ARG",1980,NA
"ARG",1981,NA
"ARG",1982,NA
"ARG",1983,NA
"ARG",1984,NA
"ARG",1985,NA
"ARG",1986,NA
"ARG",1987,NA
"ARG",1988,NA
"ARG",1989,NA
"ARG",1990,NA
"ARG",1991,NA
"ARG",1992,NA
"ARG",1993,NA
"ARG",1994,NA
"ARG",1995,NA
"ARG",1996,NA
"ARG",1997,NA
"ARG",1998,NA
"ARG",1999,NA
"ARG",2000,NA
"ARG",2001,NA
"ARG",2002,NA
"ARG",2003,NA
"ARG",2004,1
"ARG",2005,1
"ARG",2006,1
"ARG",2007,1
"ARG",2008,1
"ARG",2009,1
"ARG",2010,1
"ARG",2011,1
"ARG",2012,1
"ARG",2013,1
"ARG",2014,1
"ARG",2015,1
"ARG",2016,NA
"ARG",2017,NA
"ARM",1980,NA
"ARM",1981,NA
"ARM",1982,NA
"ARM",1983,NA
"ARM",1984,NA
"ARM",1985,NA
"ARM",1986,NA
"ARM",1987,NA
"ARM",1988,NA
"ARM",1989,NA
"ARM",1990,NA
"ARM",1991,NA
"ARM",1992,NA
"ARM",1993,NA
"ARM",1994,NA
"ARM",1995,NA
"ARM",1996,NA
"ARM",1997,NA
"ARM",1998,NA
"ARM",1999,NA
"ARM",2000,NA
"ARM",2001,NA
"ARM",2002,NA
"ARM",2003,NA
"ARM",2004,NA
"ARM",2005,NA
"ARM",2006,NA
"ARM",2007,NA
"ARM",2008,NA
"ARM",2009,NA
"ARM",2010,NA
"ARM",2011,NA
"ARM",2012,NA
"ARM",2013,NA
"ARM",2014,NA
"ARM",2015,NA
"ARM",2016,NA
"ARM",2017,NA
"AUS",1980,NA
"AUS",1981,NA
"AUS",1982,NA
"AUS",1983,NA
"AUS",1984,1
"AUS",1985,1
"AUS",1986,1
"AUS",1987,1
"AUS",1988,1
"AUS",1989,1
"AUS",1990,1
"AUS",1991,1
"AUS",1992,1
"AUS",1993,1
"AUS",1994,1
"AUS",1995,1
"AUS",1996,1
"AUS",1997,NA
"AUS",1998,NA
"AUS",1999,NA
"AUS",2000,NA
"AUS",2001,NA
"AUS",2002,NA
"AUS",2003,NA
"AUS",2004,NA
"AUS",2005,NA
"AUS",2006,NA
"AUS",2007,NA
"AUS",2008,1
"AUS",2009,1
"AUS",2010,1
"AUS",2011,1
"AUS",2012,1
"AUS",2013,1
"AUS",2014,NA
"AUS",2015,NA
"AUS",2016,NA
"AUS",2017,NA
"AUT",1980,1
"AUT",1981,1
"AUT",1982,1
"AUT",1983,1
"AUT",1984,1
"AUT",1985,1
"AUT",1986,1
"AUT",1987,1
"AUT",1988,1
"AUT",1989,1
"AUT",1990,1
"AUT",1991,1
"AUT",1992,1
"AUT",1993,1
"AUT",1994,1
"AUT",1995,1
"AUT",1996,1
"AUT",1997,1
"AUT",1998,1
"AUT",1999,1
"AUT",2000,NA
"AUT",2001,NA
"AUT",2002,NA
"AUT",2003,NA
"AUT",2004,NA
"AUT",2005,NA
"AUT",2006,NA
"AUT",2007,1
"AUT",2008,1
"AUT",2009,1
"AUT",2010,1
"AUT",2011,1
"AUT",2012,1
"AUT",2013,1
"AUT",2014,1
"AUT",2015,1
"AUT",2016,1
"AUT",2017,1
"AZE",1980,NA
"AZE",1981,NA
"AZE",1982,NA
"AZE",1983,NA
"AZE",1984,NA
"AZE",1985,NA
"AZE",1986,NA
"AZE",1987,NA
"AZE",1988,NA
"AZE",1989,NA
"AZE",1990,NA
"AZE",1991,NA
"AZE",1992,NA
"AZE",1993,NA
"AZE",1994,NA
"AZE",1995,NA
"AZE",1996,NA
"AZE",1997,NA
"AZE",1998,NA
"AZE",1999,NA
"AZE",2000,NA
"AZE",2001,NA
"AZE",2002,NA
"AZE",2003,NA
"AZE",2004,NA
"AZE",2005,NA
"AZE",2006,NA
"AZE",2007,NA
"AZE",2008,NA
"AZE",2009,NA
"AZE",2010,NA
"AZE",2011,NA
"AZE",2012,NA
"AZE",2013,NA
"AZE",2014,NA
"AZE",2015,NA
"AZE",2016,NA
"AZE",2017,NA
"BDI",1980,NA
"BDI",1981,NA
"BDI",1982,NA
"BDI",1983,NA
"BDI",1984,NA
"BDI",1985,NA
"BDI",1986,NA
"BDI",1987,NA
"BDI",1988,NA
"BDI",1989,NA
"BDI",1990,NA
"BDI",1991,NA
"BDI",1992,NA
"BDI",1993,NA
"BDI",1994,NA
"BDI",1995,NA
"BDI",1996,NA
"BDI",1997,NA
"BDI",1998,NA
"BDI",1999,NA
"BDI",2000,NA
"BDI",2001,NA
"BDI",2002,NA
"BDI",2003,NA
"BDI",2004,NA
"BDI",2005,NA
"BDI",2006,NA
"BDI",2007,NA
"BDI",2008,NA
"BDI",2009,NA
"BDI",2010,NA
"BDI",2011,NA
"BDI",2012,NA
"BDI",2013,NA
"BDI",2014,NA
"BDI",2015,NA
"BDI",2016,NA
"BDI",2017,NA
"BEL",1980,NA
"BEL",1981,NA
"BEL",1982,NA
"BEL",1983,NA
"BEL",1984,NA
"BEL",1985,NA
"BEL",1986,NA
"BEL",1987,NA
"BEL",1988,NA
"BEL",1989,NA
"BEL",1990,NA
"BEL",1991,NA
"BEL",1992,NA
"BEL",1993,NA
"BEL",1994,NA
"BEL",1995,NA
"BEL",1996,NA
"BEL",1997,NA
"BEL",1998,NA
"BEL",1999,NA
"BEL",2000,NA
"BEL",2001,NA
"BEL",2002,NA
"BEL",2003,NA
"BEL",2004,NA
"BEL",2005,NA
"BEL",2006,NA
"BEL",2007,NA
"BEL",2008,NA
"BEL",2009,NA
"BEL",2010,NA
"BEL",2011,NA
"BEL",2012,1
"BEL",2013,1
"BEL",2014,1
"BEL",2015,NA
"BEL",2016,NA
"BEL",2017,NA
"BEN",1980,1
"BEN",1981,1
"BEN",1982,1
"BEN",1983,1
"BEN",1984,1
"BEN",1985,1
"BEN",1986,1
"BEN",1987,1
"BEN",1988,1
"BEN",1989,1
"BEN",1990,1
"BEN",1991,1
"BEN",1992,1
"BEN",1993,1
"BEN",1994,1
"BEN",1995,1
"BEN",1996,NA
"BEN",1997,NA
"BEN",1998,NA
"BEN",1999,NA
"BEN",2000,NA
"BEN",2001,NA
"BEN",2002,NA
"BEN",2003,NA
"BEN",2004,NA
"BEN",2005,NA
"BEN",2006,NA
"BEN",2007,NA
"BEN",2008,NA
"BEN",2009,NA
"BEN",2010,NA
"BEN",2011,NA
"BEN",2012,NA
"BEN",2013,NA
"BEN",2014,NA
"BEN",2015,NA
"BEN",2016,NA
"BEN",2017,NA
"BFA",1980,1
"BFA",1981,1
"BFA",1982,1
"BFA",1983,1
"BFA",1984,1
"BFA",1985,1
"BFA",1986,1
"BFA",1987,1
"BFA",1988,1
"BFA",1989,1
"BFA",1990,1
"BFA",1991,1
"BFA",1992,NA
"BFA",1993,NA
"BFA",1994,NA
"BFA",1995,NA
"BFA",1996,NA
"BFA",1997,NA
"BFA",1998,NA
"BFA",1999,NA
"BFA",2000,NA
"BFA",2001,NA
"BFA",2002,NA
"BFA",2003,NA
"BFA",2004,NA
"BFA",2005,NA
"BFA",2006,NA
"BFA",2007,NA
"BFA",2008,NA
"BFA",2009,NA
"BFA",2010,NA
"BFA",2011,NA
"BFA",2012,NA
"BFA",2013,NA
"BFA",2014,NA
"BFA",2015,NA
"BFA",2016,NA
"BFA",2017,NA
"BGD",1980,NA
"BGD",1981,NA
"BGD",1982,NA
"BGD",1983,NA
"BGD",1984,NA
"BGD",1985,NA
"BGD",1986,NA
"BGD",1987,NA
"BGD",1988,NA
"BGD",1989,NA
"BGD",1990,NA
"BGD",1991,1
"BGD",1992,NA
"BGD",1993,NA
"BGD",1994,NA
"BGD",1995,NA
"BGD",1996,NA
"BGD",1997,NA
"BGD",1998,NA
"BGD",1999,NA
"BGD",2000,NA
"BGD",2001,NA
"BGD",2002,NA
"BGD",2003,NA
"BGD",2004,NA
"BGD",2005,NA
"BGD",2006,NA
"BGD",2007,NA
"BGD",2008,NA
"BGD",2009,NA
"BGD",2010,NA
"BGD",2011,NA
"BGD",2012,NA
"BGD",2013,NA
"BGD",2014,NA
"BGD",2015,NA
"BGD",2016,NA
"BGD",2017,NA
"BGR",1980,1
"BGR",1981,1
"BGR",1982,1
"BGR",1983,1
"BGR",1984,1
"BGR",1985,1
"BGR",1986,1
"BGR",1987,1
"BGR",1988,1
"BGR",1989,1
"BGR",1990,1
"BGR",1991,NA
"BGR",1992,NA
"BGR",1993,NA
"BGR",1994,NA
"BGR",1995,NA
"BGR",1996,NA
"BGR",1997,NA
"BGR",1998,NA
"BGR",1999,NA
"BGR",2000,NA
"BGR",2001,NA
"BGR",2002,NA
"BGR",2003,NA
"BGR",2004,NA
"BGR",2005,NA
"BGR",2006,NA
"BGR",2007,NA
"BGR",2008,NA
"BGR",2009,NA
"BGR",2010,NA
"BGR",2011,NA
"BGR",2012,NA
"BGR",2013,NA
"BGR",2014,NA
"BGR",2015,NA
"BGR",2016,NA
"BGR",2017,NA
"BHR",1980,NA
"BHR",1981,NA
"BHR",1982,NA
"BHR",1983,NA
"BHR",1984,NA
"BHR",1985,NA
"BHR",1986,NA
"BHR",1987,NA
"BHR",1988,NA
"BHR",1989,NA
"BHR",1990,NA
"BHR",1991,NA
"BHR",1992,NA
"BHR",1993,NA
"BHR",1994,NA
"BHR",1995,NA
"BHR",1996,NA
"BHR",1997,NA
"BHR",1998,NA
"BHR",1999,NA
"BHR",2000,NA
"BHR",2001,NA
"BHR",2002,NA
"BHR",2003,NA
"BHR",2004,NA
"BHR",2005,NA
"BHR",2006,NA
"BHR",2007,NA
"BHR",2008,NA
"BHR",2009,NA
"BHR",2010,NA
"BHR",2011,NA
"BHR",2012,NA
"BHR",2013,NA
"BHR",2014,NA
"BHR",2015,NA
"BHR",2016,NA
"BHR",2017,NA
"BHS",1980,NA
"BHS",1981,NA
"BHS",1982,NA
"BHS",1983,NA
"BHS",1984,NA
"BHS",1985,NA
"BHS",1986,NA
"BHS",1987,NA
"BHS",1988,NA
"BHS",1989,NA
"BHS",1990,NA
"BHS",1991,NA
"BHS",1992,NA
"BHS",1993,NA
"BHS",1994,NA
"BHS",1995,NA
"BHS",1996,NA
"BHS",1997,NA
"BHS",1998,NA
"BHS",1999,NA
"BHS",2000,NA
"BHS",2001,NA
"BHS",2002,NA
"BHS",2003,NA
"BHS",2004,NA
"BHS",2005,NA
"BHS",2006,NA
"BHS",2007,NA
"BHS",2008,NA
"BHS",2009,NA
"BHS",2010,NA
"BHS",2011,NA
"BHS",2012,NA
"BHS",2013,NA
"BHS",2014,NA
"BHS",2015,NA
"BHS",2016,NA
"BHS",2017,NA
"BIH",1980,NA
"BIH",1981,NA
"BIH",1982,NA
"BIH",1983,NA
"BIH",1984,NA
"BIH",1985,NA
"BIH",1986,NA
"BIH",1987,NA
"BIH",1988,NA
"BIH",1989,NA
"BIH",1990,NA
"BIH",1991,NA
"BIH",1992,NA
"BIH",1993,NA
"BIH",1994,NA
"BIH",1995,NA
"BIH",1996,NA
"BIH",1997,NA
"BIH",1998,NA
"BIH",1999,NA
"BIH",2000,NA
"BIH",2001,NA
"BIH",2002,NA
"BIH",2003,NA
"BIH",2004,NA
"BIH",2005,NA
"BIH",2006,NA
"BIH",2007,NA
"BIH",2008,NA
"BIH",2009,NA
"BIH",2010,NA
"BIH",2011,NA
"BIH",2012,NA
"BIH",2013,NA
"BIH",2014,NA
"BIH",2015,NA
"BIH",2016,NA
"BIH",2017,NA
"BLR",1980,NA
"BLR",1981,NA
"BLR",1982,NA
"BLR",1983,NA
"BLR",1984,NA
"BLR",1985,NA
"BLR",1986,NA
"BLR",1987,NA
"BLR",1988,NA
"BLR",1989,NA
"BLR",1990,NA
"BLR",1991,NA
"BLR",1992,1
"BLR",1993,1
"BLR",1994,1
"BLR",1995,NA
"BLR",1996,NA
"BLR",1997,NA
"BLR",1998,NA
"BLR",1999,NA
"BLR",2000,NA
"BLR",2001,NA
"BLR",2002,NA
"BLR",2003,NA
"BLR",2004,NA
"BLR",2005,NA
"BLR",2006,NA
"BLR",2007,NA
"BLR",2008,NA
"BLR",2009,NA
"BLR",2010,NA
"BLR",2011,NA
"BLR",2012,NA
"BLR",2013,NA
"BLR",2014,NA
"BLR",2015,NA
"BLR",2016,NA
"BLR",2017,NA
"BLZ",1980,NA
"BLZ",1981,NA
"BLZ",1982,NA
"BLZ",1983,NA
"BLZ",1984,NA
"BLZ",1985,NA
"BLZ",1986,NA
"BLZ",1987,NA
"BLZ",1988,NA
"BLZ",1989,NA
"BLZ",1990,NA
"BLZ",1991,NA
"BLZ",1992,NA
"BLZ",1993,NA
"BLZ",1994,NA
"BLZ",1995,NA
"BLZ",1996,NA
"BLZ",1997,NA
"BLZ",1998,NA
"BLZ",1999,NA
"BLZ",2000,NA
"BLZ",2001,NA
"BLZ",2002,NA
"BLZ",2003,NA
"BLZ",2004,NA
"BLZ",2005,NA
"BLZ",2006,NA
"BLZ",2007,NA
"BLZ",2008,NA
"BLZ",2009,NA
"BLZ",2010,NA
"BLZ",2011,NA
"BLZ",2012,NA
"BLZ",2013,NA
"BLZ",2014,NA
"BLZ",2015,NA
"BLZ",2016,NA
"BLZ",2017,NA
"BOL",1980,NA
"BOL",1981,NA
"BOL",1982,NA
"BOL",1983,1
"BOL",1984,1
"BOL",1985,1
"BOL",1986,NA
"BOL",1987,NA
"BOL",1988,NA
"BOL",1989,NA
"BOL",1990,1
"BOL",1991,1
"BOL",1992,1
"BOL",1993,1
"BOL",1994,NA
"BOL",1995,NA
"BOL",1996,NA
"BOL",1997,NA
"BOL",1998,NA
"BOL",1999,NA
"BOL",2000,NA
"BOL",2001,NA
"BOL",2002,NA
"BOL",2003,NA
"BOL",2004,NA
"BOL",2005,NA
"BOL",2006,1
"BOL",2007,1
"BOL",2008,1
"BOL",2009,1
"BOL",2010,1
"BOL",2011,1
"BOL",2012,1
"BOL",2013,1
"BOL",2014,1
"BOL",2015,1
"BOL",2016,1
"BOL",2017,1
"BRA",1980,NA
"BRA",1981,NA
"BRA",1982,NA
"BRA",1983,NA
"BRA",1984,NA
"BRA",1985,NA
"BRA",1986,NA
"BRA",1987,NA
"BRA",1988,NA
"BRA",1989,NA
"BRA",1990,NA
"BRA",1991,NA
"BRA",1992,NA
"BRA",1993,NA
"BRA",1994,NA
"BRA",1995,1
"BRA",1996,1
"BRA",1997,1
"BRA",1998,1
"BRA",1999,1
"BRA",2000,1
"BRA",2001,1
"BRA",2002,1
"BRA",2003,1
"BRA",2004,1
"BRA",2005,1
"BRA",2006,1
"BRA",2007,1
"BRA",2008,1
"BRA",2009,1
"BRA",2010,1
"BRA",2011,1
"BRA",2012,1
"BRA",2013,1
"BRA",2014,1
"BRA",2015,1
"BRA",2016,1
"BRA",2017,NA
"BRB",1980,1
"BRB",1981,1
"BRB",1982,1
"BRB",1983,1
"BRB",1984,1
"BRB",1985,1
"BRB",1986,1
"BRB",1987,NA
"BRB",1988,NA
"BRB",1989,NA
"BRB",1990,NA
"BRB",1991,NA
"BRB",1992,NA
"BRB",1993,NA
"BRB",1994,NA
"BRB",1995,1
"BRB",1996,1
"BRB",1997,1
"BRB",1998,1
"BRB",1999,1
"BRB",2000,1
"BRB",2001,1
"BRB",2002,1
"BRB",2003,1
"BRB",2004,1
"BRB",2005,1
"BRB",2006,1
"BRB",2007,1
"BRB",2008,1
"BRB",2009,NA
"BRB",2010,NA
"BRB",2011,NA
"BRB",2012,NA
"BRB",2013,NA
"BRB",2014,NA
"BRB",2015,NA
"BRB",2016,NA
"BRB",2017,NA
"BRN",1980,NA
"BRN",1981,NA
"BRN",1982,NA
"BRN",1983,NA
"BRN",1984,NA
"BRN",1985,NA
"BRN",1986,NA
"BRN",1987,NA
"BRN",1988,NA
"BRN",1989,NA
"BRN",1990,NA
"BRN",1991,NA
"BRN",1992,NA
"BRN",1993,NA
"BRN",1994,NA
"BRN",1995,NA
"BRN",1996,NA
"BRN",1997,NA
"BRN",1998,NA
"BRN",1999,NA
"BRN",2000,NA
"BRN",2001,NA
"BRN",2002,NA
"BRN",2003,NA
"BRN",2004,NA
"BRN",2005,NA
"BRN",2006,NA
"BRN",2007,NA
"BRN",2008,NA
"BRN",2009,NA
"BRN",2010,NA
"BRN",2011,NA
"BRN",2012,NA
"BRN",2013,NA
"BRN",2014,NA
"BRN",2015,NA
"BRN",2016,NA
"BRN",2017,NA
"BTN",1980,NA
"BTN",1981,NA
"BTN",1982,NA
"BTN",1983,NA
"BTN",1984,NA
"BTN",1985,NA
"BTN",1986,NA
"BTN",1987,NA
"BTN",1988,NA
"BTN",1989,NA
"BTN",1990,NA
"BTN",1991,NA
"BTN",1992,NA
"BTN",1993,NA
"BTN",1994,NA
"BTN",1995,NA
"BTN",1996,NA
"BTN",1997,NA
"BTN",1998,NA
"BTN",1999,NA
"BTN",2000,NA
"BTN",2001,NA
"BTN",2002,NA
"BTN",2003,NA
"BTN",2004,NA
"BTN",2005,NA
"BTN",2006,NA
"BTN",2007,NA
"BTN",2008,NA
"BTN",2009,NA
"BTN",2010,NA
"BTN",2011,NA
"BTN",2012,NA
"BTN",2013,NA
"BTN",2014,NA
"BTN",2015,NA
"BTN",2016,NA
"BTN",2017,NA
"BWA",1980,NA
"BWA",1981,NA
"BWA",1982,NA
"BWA",1983,NA
"BWA",1984,NA
"BWA",1985,NA
"BWA",1986,NA
"BWA",1987,NA
"BWA",1988,NA
"BWA",1989,NA
"BWA",1990,NA
"BWA",1991,NA
"BWA",1992,NA
"BWA",1993,NA
"BWA",1994,NA
"BWA",1995,NA
"BWA",1996,NA
"BWA",1997,NA
"BWA",1998,NA
"BWA",1999,NA
"BWA",2000,NA
"BWA",2001,NA
"BWA",2002,NA
"BWA",2003,NA
"BWA",2004,NA
"BWA",2005,NA
"BWA",2006,NA
"BWA",2007,NA
"BWA",2008,NA
"BWA",2009,NA
"BWA",2010,NA
"BWA",2011,NA
"BWA",2012,NA
"BWA",2013,NA
"BWA",2014,NA
"BWA",2015,NA
"BWA",2016,NA
"BWA",2017,NA
"CAF",1980,NA
"CAF",1981,NA
"CAF",1982,NA
"CAF",1983,NA
"CAF",1984,NA
"CAF",1985,NA
"CAF",1986,NA
"CAF",1987,NA
"CAF",1988,NA
"CAF",1989,NA
"CAF",1990,NA
"CAF",1991,NA
"CAF",1992,NA
"CAF",1993,NA
"CAF",1994,NA
"CAF",1995,NA
"CAF",1996,NA
"CAF",1997,NA
"CAF",1998,NA
"CAF",1999,NA
"CAF",2000,NA
"CAF",2001,NA
"CAF",2002,NA
"CAF",2003,NA
"CAF",2004,NA
"CAF",2005,NA
"CAF",2006,NA
"CAF",2007,NA
"CAF",2008,NA
"CAF",2009,NA
"CAF",2010,NA
"CAF",2011,NA
"CAF",2012,NA
"CAF",2013,NA
"CAF",2014,NA
"CAF",2015,NA
"CAF",2016,NA
"CAF",2017,NA
"CAN",1980,NA
"CAN",1981,1
"CAN",1982,1
"CAN",1983,1
"CAN",1984,1
"CAN",1985,NA
"CAN",1986,NA
"CAN",1987,NA
"CAN",1988,NA
"CAN",1989,NA
"CAN",1990,NA
"CAN",1991,NA
"CAN",1992,NA
"CAN",1993,NA
"CAN",1994,1
"CAN",1995,1
"CAN",1996,1
"CAN",1997,1
"CAN",1998,1
"CAN",1999,1
"CAN",2000,1
"CAN",2001,1
"CAN",2002,1
"CAN",2003,1
"CAN",2004,1
"CAN",2005,1
"CAN",2006,1
"CAN",2007,NA
"CAN",2008,NA
"CAN",2009,NA
"CAN",2010,NA
"CAN",2011,NA
"CAN",2012,NA
"CAN",2013,NA
"CAN",2014,NA
"CAN",2015,NA
"CAN",2016,1
"CAN",2017,1
"CHE",1980,NA
"CHE",1981,NA
"CHE",1982,NA
"CHE",1983,NA
"CHE",1984,NA
"CHE",1985,NA
"CHE",1986,NA
"CHE",1987,NA
"CHE",1988,NA
"CHE",1989,NA
"CHE",1990,NA
"CHE",1991,NA
"CHE",1992,NA
"CHE",1993,NA
"CHE",1994,NA
"CHE",1995,NA
"CHE",1996,NA
"CHE",1997,NA
"CHE",1998,NA
"CHE",1999,NA
"CHE",2000,NA
"CHE",2001,NA
"CHE",2002,NA
"CHE",2003,NA
"CHE",2004,NA
"CHE",2005,NA
"CHE",2006,NA
"CHE",2007,NA
"CHE",2008,NA
"CHE",2009,NA
"CHE",2010,NA
"CHE",2011,NA
"CHE",2012,NA
"CHE",2013,NA
"CHE",2014,NA
"CHE",2015,NA
"CHE",2016,NA
"CHE",2017,NA
"CHL",1980,NA
"CHL",1981,NA
"CHL",1982,NA
"CHL",1983,NA
"CHL",1984,NA
"CHL",1985,NA
"CHL",1986,NA
"CHL",1987,NA
"CHL",1988,NA
"CHL",1989,NA
"CHL",1990,NA
"CHL",1991,NA
"CHL",1992,NA
"CHL",1993,NA
