"year","iso3c","PrEdu","SecEdu","TerEdu"
2010,"KWT",9.61,18.7,4.28
2015,"KWT",10.6,19.6,3.8
1980,"LAO",18.4,1.59,1.15
1985,"LAO",19.74,2.14,1.51
1990,"LAO",21.7,2.66,1.9
1995,"LAO",22.13,3.69,1.8
2000,"LAO",22.32,4.51,2
2005,"LAO",21.96,5.22,2.51
2010,"LAO",20.78,6.04,3.3
2015,"LAO",19.7,7,4.1
1980,"LBR",5.5,6.13,0.93
1985,"LBR",8.66,6.79,1.14
1990,"LBR",11.5,6.86,1.44
1995,"LBR",11.65,6.89,1.69
2000,"LBR",12.84,7.88,2.35
2005,"LBR",14.95,9.71,2.41
2010,"LBR",19.24,12.49,1.9
2015,"LBR",21.5,10.4,5.4
1980,"LBY",12.52,6.34,1.06
1985,"LBY",17.19,12.21,1.31
1990,"LBY",20.12,15.37,1.75
1995,"LBY",21,18.58,2.26
2000,"LBY",21.71,17.8,6.18
2005,"LBY",20.79,16.84,8.27
2010,"LBY",20.43,15.99,11.89
2015,"LBY",21.3,15.8,16.2
1980,"LKA",26.56,24.81,0.42
1985,"LKA",22.98,29.36,1.56
1990,"LKA",19.88,35.16,3.15
1995,"LKA",14.78,40.97,5.25
2000,"LKA",8.8,48.1,7.65
2005,"LKA",10.43,35.67,8.6
2010,"LKA",11.39,17.89,8.51
2015,"LKA",7.5,21.4,8.5
1980,"LSO",10.9,8.42,0.19
1985,"LSO",11.91,11.46,0.29
1990,"LSO",14.95,14.87,0.39
1995,"LSO",16.17,19.52,0.54
2000,"LSO",17.81,24.5,0.62
2005,"LSO",18.06,33,0.64
2010,"LSO",22.71,13.18,0.76
2015,"LSO",24,18.1,0.7
1980,"LTU",20.61,31.36,5.39
1985,"LTU",15.69,37.81,6.67
1990,"LTU",12.44,44.88,6.41
1995,"LTU",10.46,47.24,7.75
2000,"LTU",10.82,49.1,8.58
2005,"LTU",11.43,49.2,13.51
2010,"LTU",8.85,51.25,15.6
2015,"LTU",3.4,56.2,18.2
1980,"LUX",36.53,19.1,5.34
1985,"LUX",33.3,21.37,5.96
1990,"LUX",30.05,24.18,7.03
1995,"LUX",27.62,25.66,8.3
2000,"LUX",23.21,28.34,9.35
2005,"LUX",19.48,28.47,13.29
2010,"LUX",15.71,27.58,18.54
2015,"LUX",10.7,32.9,15.8
1980,"LVA",31.4,16.31,6.05
1985,"LVA",29.53,19.54,7.2
1990,"LVA",27.7,23.3,7.01
1995,"LVA",16.81,31.45,8.36
2000,"LVA",13.06,35.47,7.73
2005,"LVA",4.34,41.09,9.76
2010,"LVA",3.35,41.6,12.42
2015,"LVA",1.3,40.5,16
1980,"MAC",34.42,7.86,1.93
1985,"MAC",33.06,9.58,2.71
1990,"MAC",30.41,11.01,3.3
1995,"MAC",28.32,14.25,4.98
2000,"MAC",26.1,19.4,5.61
2005,"MAC",20.85,25.99,6.9
2010,"MAC",16.16,32.11,10.43
2015,"MAC",13.6,35.8,12.4
1980,"MAR",5.79,3.84,0.7
1985,"MAR",8.17,4.79,2.21
1990,"MAR",11.47,5.91,2.98
1995,"MAR",14.48,7.17,3.69
2000,"MAR",16.87,8.46,4.07
2005,"MAR",19.55,10,4.67
2010,"MAR",21.69,12.13,5.35
2015,"MAR",28.3,14,6.5
1980,"MDV",11,28.14,0.18
1985,"MDV",12.06,29.88,0.23
1990,"MDV",13.06,21.89,0.26
1995,"MDV",13.94,14.33,0.25
2000,"MDV",16.01,9.59,0.16
2005,"MDV",17.83,5.49,0.26
2010,"MDV",17.91,11.38,0.25
2015,"MDV",14.6,10.7,0.2
1980,"MEX",18.89,8.12,3.36
1985,"MEX",19.43,10.98,3.58
1990,"MEX",19.26,13.39,3.87
1995,"MEX",20.22,15.7,5.12
2000,"MEX",19.13,16.63,6.84
2005,"MEX",16.52,19.79,8.41
2010,"MEX",16.11,19.41,9.81
2015,"MEX",13.8,23.9,12.1
1980,"MLI",3.25,0.69,0.16
1985,"MLI",3.63,0.9,0.23
1990,"MLI",4.51,0.98,0.27
1995,"MLI",5.29,1.11,0.33
2000,"MLI",5.99,1.51,0.5
2005,"MLI",7.36,2.79,0.68
2010,"MLI",5.05,3.86,0.78
2015,"MLI",7.4,6.2,0.8
1980,"MLT",25.14,24.94,3.81
1985,"MLT",25.88,29.67,4.4
1990,"MLT",23.37,33.85,5.39
1995,"MLT",20.32,40.06,6.5
2000,"MLT",20.71,30.16,7.4
2005,"MLT",23.66,15.52,7.58
2010,"MLT",22.99,16.42,10.52
2015,"MLT",9,21.9,14
1980,"MMR",8.26,5.61,0.74
1985,"MMR",10.36,7.65,1.07
1990,"MMR",18.12,4.88,2.14
1995,"MMR",21.11,5.98,2.35
2000,"MMR",23.65,6.83,2.94
2005,"MMR",25.15,8.14,3.88
2010,"MMR",27.31,9.51,5.15
2015,"MMR",29.5,11.3,7.4
1980,"MNG",14.58,25.13,8.63
1985,"MNG",14.17,29.51,9.02
1990,"MNG",12.19,36.75,8.08
1995,"MNG",10.87,37.62,9.2
2000,"MNG",9.76,38.9,8.16
2005,"MNG",8.3,39.13,15.61
2010,"MNG",6.56,45.61,19.66
2015,"MNG",4.8,49.8,22.5
1980,"MOZ",12.79,0.7,0.02
1985,"MOZ",13.5,0.82,0.07
1990,"MOZ",11.41,0.88,0.13
1995,"MOZ",10.57,0.95,0.14
2000,"MOZ",12.12,1.38,0.2
2005,"MOZ",13.51,1.89,0.23
2010,"MOZ",16.47,3.38,0.26
2015,"MOZ",22.9,6.3,0.3
1980,"MRT",16.09,1.72,0.43
1985,"MRT",17.61,2.33,0.57
1990,"MRT",19.45,3.38,0.64
1995,"MRT",21.63,4.26,0.93
2000,"MRT",24.44,5.26,1.17
2005,"MRT",28.68,6.71,1.11
2010,"MRT",32.93,8.21,0.97
2015,"MRT",40.3,10.5,0.9
1980,"MUS",8.5,20.22,0.77
1985,"MUS",7.14,23.35,1.11
1990,"MUS",5.6,29.99,0.63
1995,"MUS",8.84,27.34,0.83
2000,"MUS",9.81,20.25,0.89
2005,"MUS",9.15,30.55,1.6
2010,"MUS",8.03,44.52,1.88
2015,"MUS",6.8,52.2,2.5
1980,"MWI",14.59,1.49,0.16
1985,"MWI",19.94,0.03,0.25
1990,"MWI",15.89,1.94,0.23
1995,"MWI",13.22,2.61,0.25
2000,"MWI",11.68,4.74,0.21
2005,"MWI",13.76,6.86,0.18
2010,"MWI",15.81,7.92,0.15
2015,"MWI",18.7,9.8,0.1
1980,"MYS",20.65,15.41,0.87
1985,"MYS",20.37,18.77,1.98
1990,"MYS",15.58,17.05,2.32
1995,"MYS",16.59,27.64,2.89
2000,"MYS",13.97,35.01,3.18
2005,"MYS",12.48,36.01,4.45
2010,"MYS",11.19,39.81,5.81
2015,"MYS",9,44.3,7.1
1980,"NAM",15.13,14.02,1.02
1985,"NAM",15.59,16.82,1.17
1990,"NAM",17.13,18.77,1.29
1995,"NAM",20.55,17.18,1.24
2000,"NAM",22,14.9,1.25
2005,"NAM",24.3,15.28,0.94
2010,"NAM",24.75,16.15,0.76
2015,"NAM",23.9,19.5,0.7
1980,"NER",4.59,0.69,0.16
1985,"NER",5.55,1.08,0.23
1990,"NER",6.96,1.5,0.29
1995,"NER",8.53,1.81,0.36
2000,"NER",9.81,2.05,0.42
2005,"NER",11.02,2.55,0.47
2010,"NER",13.12,3.39,0.51
2015,"NER",18,4.4,0.6
1980,"NIC",9.32,5.23,7.73
1985,"NIC",9.6,6.37,8.14
1990,"NIC",10.01,7.77,8.16
1995,"NIC",9.56,10.4,8.37
2000,"NIC",10.02,11.99,9.28
2005,"NIC",10.2,14.16,9.32
2010,"NIC",10.07,17.29,10.33
2015,"NIC",9.9,19.8,12.6
1980,"NLD",24.04,29.11,6.19
1985,"NLD",18.45,32.96,7.84
1990,"NLD",16.73,35.15,9.69
1995,"NLD",14.66,35.49,11.38
2000,"NLD",12.73,39.68,11.81
2005,"NLD",9.34,37.33,13.63
2010,"NLD",9.07,38.39,15.63
2015,"NLD",6.2,42.9,15.3
1980,"NOR",55.63,15.2,4.38
1985,"NOR",43.02,20.71,5.55
1990,"NOR",32.93,25.77,7.85
1995,"NOR",25.9,29.54,8.81
2000,"NOR",20.97,32.59,10
2005,"NOR",0.35,42.98,11.14
2010,"NOR",0.24,40.3,12.16
2015,"NOR",0.3,37.6,14.4
1980,"NPL",2.57,1.17,0.6
1985,"NPL",3.68,2.06,1.41
1990,"NPL",4.93,5.14,2.12
1995,"NPL",7.09,6.28,2.1
2000,"NPL",11.38,7.89,1.81
2005,"NPL",15.2,10.21,1.76
2010,"NPL",18.88,12.59,1.75
2015,"NPL",20.3,17.2,1.5
1980,"NZL",18.42,27.52,12.47
1985,"NZL",21.95,24.32,14.66
1990,"NZL",25,19.63,16.71
1995,"NZL",25.05,19.71,17.39
2000,"NZL",24.14,20.21,17.86
2005,"NZL",23.17,16.83,18.57
2010,"NZL",28.05,15.53,15.5
2015,"NZL",28.3,14.7,17.7
1980,"PAK",8.13,7.52,1.48
1985,"PAK",9.19,9.21,1.62
1990,"PAK",9.91,11.13,1.92
1995,"PAK",9.6,12.07,4.11
2000,"PAK",9.38,13.29,6.09
2005,"PAK",15.33,19.17,4.02
2010,"PAK",14.53,19.13,4.43
2015,"PAK",17.5,23.4,3.8
1980,"PAN",24.21,16.2,3.57
1985,"PAN",24.31,18.92,4.71
1990,"PAN",22.69,18.07,5.91
1995,"PAN",23.04,23.1,8.82
2000,"PAN",20.94,20.86,12.53
2005,"PAN",22.72,25.54,13.51
2010,"PAN",22.15,26.38,14.37
2015,"PAN",19.8,30.9,15.8
1980,"PER",16.95,13.63,6.93
1985,"PER",12.11,15.49,9.71
1990,"PER",9.58,18.45,13.79
1995,"PER",8.38,26.57,15.53
2000,"PER",12.1,24.9,20.54
2005,"PER",13.02,26.53,24.37
2010,"PER",18.13,37.3,12.27
2015,"PER",16.5,45.1,13
1980,"PHL",22.82,13.08,8.24
1985,"PHL",22.73,14.57,7.13
1990,"PHL",21.52,16.56,6.73
1995,"PHL",20.07,17.62,6.71
2000,"PHL",19.1,17.85,6.55
2005,"PHL",17.79,21.56,5.94
2010,"PHL",17.02,23.84,5.48
2015,"PHL",13.4,23.9,6.3
1980,"PNG",9.18,4.34,0.26
1985,"PNG",15.48,5.18,0.3
1990,"PNG",21.67,5.81,0.36
1995,"PNG",29.16,4.93,0.6
2000,"PNG",32.11,4.41,0.63
2005,"PNG",41.76,5.09,0.6
2010,"PNG",43.99,6.28,0.54
2015,"PNG",47.2,7.6,0.6
1980,"POL",45.62,14.41,2.6
1985,"POL",42.66,14.88,3.52
1990,"POL",41.65,40.11,3.41
1995,"POL",32.07,47.72,5.47
2000,"POL",25.95,52.84,6.16
2005,"POL",20.79,54.67,9.78
2010,"POL",16.09,58.39,11.37
2015,"POL",9,61.5,13.3
1980,"PRT",44.78,8.94,1.36
1985,"PRT",45.55,11.33,2.19
1990,"PRT",47.02,12.52,2.88
1995,"PRT",44.78,14.74,3.77
2000,"PRT",41.71,19.45,4.28
2005,"PRT",40.41,14,3.04
2010,"PRT",37.95,15.46,3.26
2015,"PRT",34.7,23.4,3.5
1980,"PRY",18.93,9.33,1.97
1985,"PRY",22.13,10.71,2.53
1990,"PRY",22.75,12.14,3.36
1995,"PRY",33.67,11.84,3.44
2000,"PRY",22.76,15.27,3.74
2005,"PRY",22.19,30.06,1.51
2010,"PRY",28.23,20.81,3.88
2015,"PRY",27.3,27.3,4.7
1980,"QAT",5.22,11.99,6.49
1985,"QAT",5.55,14.01,7.15
1990,"QAT",5.85,15.44,7.82
1995,"QAT",6.15,17.4,8.37
2000,"QAT",5.95,18.6,9.8
2005,"QAT",4.41,22.91,10.55
2010,"QAT",18.48,23.57,10.05
2015,"QAT",19.5,24.7,8.9
1980,"REU",30.68,9.57,0.35
1985,"REU",31.5,11.56,0.49
1990,"REU",31.64,13.39,0.62
1995,"REU",31.16,14.97,0.76
2000,"REU",30.1,16.33,0.91
2005,"REU",28.43,17.77,1.05
2010,"REU",23.56,19.88,1.48
2015,"REU",18.2,21.3,2
1980,"ROM",8.5,26.5,4.78
1985,"ROM",7.86,31.41,5.67
1990,"ROM",7.21,35.94,5.94
1995,"ROM",6.94,38.86,6.17
2000,"ROM",6.62,40.07,6.68
2005,"ROM",5.87,43.76,6.57
2010,"ROM",3.65,54.27,8.76
2015,"ROM",2.5,59.7,9.8
1980,"ROU",2.73,21.81,2.62
1985,"ROU",2.46,26.54,3.05
1990,"ROU",1.77,34.74,3.33
1995,"ROU",1.66,38.15,4.23
2000,"ROU",1.64,42.19,4.76
2005,"ROU",1.58,44.37,6.31
2010,"ROU",1.29,51.31,6.61
2015,"ROU",0.6,59.7,7.9
1980,"RUS",10.85,27.8,6.18
1985,"RUS",8.45,28.91,9.81
1990,"RUS",6.53,30.88,12.99
1995,"RUS",5.25,28.5,13.3
2000,"RUS",4.28,30.5,19.31
2005,"RUS",4.01,27.7,21.77
2010,"RUS",3.17,23.8,24.74
2015,"RUS",0.8,24.2,28.1
1980,"RWA",8.57,1.32,0.09
1985,"RWA",10.17,1.6,0.1
1990,"RWA",13.8,2.3,0.12
1995,"RWA",19.04,2.92,0.14
2000,"RWA",25.27,3.64,0.22
2005,"RWA",29.45,4.83,0.33
2010,"RWA",33.84,6.16,0.53
2015,"RWA",39,9,0.6
1980,"SAU",15.01,8.61,3.73
1985,"SAU",17.43,10.94,4.71
1990,"SAU",18.69,12.8,5.45
1995,"SAU",17.37,14.97,6.15
2000,"SAU",17.17,18.14,6.91
2005,"SAU",16.11,22.37,6.5
2010,"SAU",14.95,29.11,6.67
2015,"SAU",12.5,36.1,8.2
1980,"SDN",12.97,1.69,0.38
1985,"SDN",16.93,2.63,0.3
1990,"SDN",19.97,3.37,0.38
1995,"SDN",22.85,3.62,0.54
2000,"SDN",25.94,3.34,0.87
2005,"SDN",29.52,2.9,1.24
2010,"SDN",31.07,2.68,1.87
2015,"SDN",33.3,2.9,3
1980,"SEN",14.67,2.26,0.57
1985,"SEN",11.57,2.8,0.68
1990,"SEN",9.29,3.19,0.74
1995,"SEN",7.43,3.65,0.72
2000,"SEN",6.25,3.27,0.53
2005,"SEN",3.88,3.52,0.29
2010,"SEN",16.52,2.19,1.25
2015,"SEN",20.2,3.8,1.7
1980,"SER",30.57,12.19,3.21
1985,"SER",32.09,15.03,4.06
1990,"SER",33.4,18.23,4.35
1995,"SER",32.42,22.47,6.1
2000,"SER",30.25,27.16,6.79
2005,"SER",18.56,38.29,8.47
2010,"SER",7.69,48.71,8.97
2015,"SER",2.1,57.1,10.9
1980,"SGP",18.49,9.76,2.44
1985,"SGP",22.73,10.07,2.73
1990,"SGP",26.31,9.52,2.6
1995,"SGP",16.39,21.13,8.85
2000,"SGP",6.73,40.74,13.79
2005,"SGP",20.34,29.9,13.7
2010,"SGP",4.09,30,29.71
2015,"SGP",2.7,37.1,36.8
1980,"SLE",5.53,2.22,0.19
1985,"SLE",6.37,2.74,0.33
1990,"SLE",7.72,3.17,0.38
1995,"SLE",9.64,3.44,0.45
2000,"SLE",9.63,4.04,0.55
2005,"SLE",8.58,5.15,0.67
2010,"SLE",7.87,7.66,1.22
2015,"SLE",12.7,7.6,1.7
1980,"SLV",15.94,4.02,2.85
1985,"SLV",17.24,3.57,4.83
1990,"SLV",18.05,4.97,4.4
1995,"SLV",13.19,7.19,5.65
2000,"SLV",17.04,11.66,6.54
2005,"SLV",18.45,14.74,6.39
2010,"SLV",15.29,22.7,3.92
2015,"SLV",15.9,28.2,4
1980,"SVK",33.84,21.48,2.56
1985,"SVK",31.88,21.83,3.71
1990,"SVK",28.93,32.58,3.95
1995,"SVK",22.23,38.44,5.01
2000,"SVK",21.72,42.6,4.69
2005,"SVK",7.47,55.71,7.27
2010,"SVK",1,61.79,8.76
2015,"SVK",0.8,65.3,10
1980,"SVN",36.09,23.96,3.36
1985,"SVN",26.77,33.23,4.76
1990,"SVN",15.7,43.4,5.45
1995,"SVN",10.47,47.54,7.22
2000,"SVN",5,54.1,7.99
2005,"SVN",3.72,55.03,10.68
2010,"SVN",2.66,56.12,13.25
2015,"SVN",0.7,60.6,13.7
1980,"SWE",26.15,37.72,7.88
1985,"SWE",23.02,39.03,9.13
1990,"SWE",19.19,41.22,10.61
1995,"SWE",12.51,44.9,11.6
2000,"SWE",12.51,46.98,13.51
2005,"SWE",7.21,50.36,14.32
2010,"SWE",8.63,48.29,14.93
2015,"SWE",2.4,51.5,15.1
1980,"SWZ",11.32,5.68,1.63
1985,"SWZ",11.87,8.02,2.09
1990,"SWZ",11.95,7.97,1.62
1995,"SWZ",11.13,7.45,1.35
2000,"SWZ",11.76,5.56,0.94
2005,"SWZ",12.42,2.94,0.02
2010,"SWZ",13.16,5.4,1.64
2015,"SWZ",13.8,7.4,1.8
1980,"SYR",8.15,3.79,1.6
1985,"SYR",8.96,4.29,2.06
1990,"SYR",10.99,5.08,2.36
1995,"SYR",13.1,4.76,2.27
2000,"SYR",16.2,4.12,1.9
2005,"SYR",32.58,8.79,2.33
2010,"SYR",32.45,18.09,2.55
2015,"SYR",32.9,24.2,2.3
1980,"TGO",8.61,4.39,0.67
1985,"TGO",12.97,5.72,0.76
1990,"TGO",18.17,7.26,0.83
1995,"TGO",21.19,8.62,0.9
2000,"TGO",23.14,10.55,1.05
2005,"TGO",22.22,11.38,1.29
2010,"TGO",20.52,9.18,1.51
2015,"TGO",21.9,14.9,1.7
1980,"THA",3.95,4.22,2.78
1985,"THA",7.19,5.19,3.65
1990,"THA",16.73,6.04,4.86
1995,"THA",23.24,9.76,3.92
2000,"THA",19.58,11.51,4.62
2005,"THA",19.32,12.8,9.02
2010,"THA",27.81,18.99,10.47
2015,"THA",16.8,22.9,13.9
1980,"TJK",11.54,41.42,4.8
1985,"TJK",9.9,46.63,4.97
1990,"TJK",7.69,53.77,4.78
1995,"TJK",6.09,60.66,4.85
2000,"TJK",5.92,65.35,4.1
2005,"TJK",7.85,62.7,3.7
2010,"TJK",8.26,62.27,3.74
2015,"TJK",8.1,66,3.5
1980,"TON",21.65,7.56,1.19
1985,"TON",21.13,8.45,1.2
1990,"TON",16.08,10.49,2.47
1995,"TON",13.75,11.72,3.28
2000,"TON",16.09,11.84,4.55
2005,"TON",19.22,12,5.69
2010,"TON",6.7,49.88,2.91
2015,"TON",3.7,60.1,3.3
1980,"TTO",38.95,5.85,1.59
1985,"TTO",43.26,8.08,1.66
1990,"TTO",39.84,12.26,1.9
1995,"TTO",37.08,17.66,2.65
2000,"TTO",32.96,25.96,3.28
2005,"TTO",30.74,36.83,4.72
2010,"TTO",28.47,50.54,6.48
2015,"TTO",20.7,59,7.7
1980,"TUN",14.08,7.28,0.93
1985,"TUN",13.78,9.03,1.38
1990,"TUN",15.71,10.63,2.05
1995,"TUN",17.47,12.46,2.48
2000,"TUN",18.62,13.98,3.77
2005,"TUN",18.56,15.34,5.71
2010,"TUN",18.32,16.44,7.38
2015,"TUN",19.3,16.3,10
1980,"TUR",29.32,6.87,1.58
1985,"TUR",36.1,4.12,6.24
1990,"TUR",37.01,7.26,5.78
1995,"TUR",42,9.93,5.31
2000,"TUR",40.87,14.82,4.91
2005,"TUR",40.57,18.18,4.21
2010,"TUR",36.62,20.52,5.28
2015,"TUR",32.3,27.3,5.1
1980,"TWN",30.8,22.3,3.59
1985,"TWN",25.82,24.75,4.31
1990,"TWN",21.15,26.74,5.46
1995,"TWN",15.57,28.95,6.35
2000,"TWN",15.64,31.44,7.33
2005,"TWN",14.44,32.98,7.65
2010,"TWN",11.71,32.53,8.24
2015,"TWN",5,35.1,9.1
1980,"TZA",23.94,0.62,0.24
1985,"TZA",29.65,0.71,0.3
1990,"TZA",36.06,0.78,0.34
1995,"TZA",40.5,0.83,0.4
2000,"TZA",46.73,0.68,0.37
2005,"TZA",47.98,1.1,0.34
2010,"TZA",50.22,2.2,0.36
2015,"TZA",55.8,3.5,0.4
1980,"UGA",12.24,0.73,0.15
1985,"UGA",15.02,1.1,0.19
1990,"UGA",17.05,1.44,0.19
1995,"UGA",20.52,1.52,1.26
2000,"UGA",24.16,2.01,1.75
2005,"UGA",18.28,4.34,1.56
2010,"UGA",13.56,6.02,1.23
2015,"UGA",14.8,6.2,1.1
1980,"UKR",20.95,32.38,6.14
1985,"UKR",15.39,40.61,9.41
1990,"UKR",11.65,41.5,12.36
1995,"UKR",8.43,40.75,16.55
2000,"UKR",7.55,36.99,20.43
2005,"UKR",5.92,39.28,22.33
2010,"UKR",6.09,38.63,24.55
2015,"UKR",6.2,37.4,27.7
1980,"URY",29.09,12.55,2.65
1985,"URY",28.52,14.13,3.38
1990,"URY",28.8,13.78,4.22
1995,"URY",26.63,13.23,5.46
2000,"URY",33.68,15.39,4.5
2005,"URY",35.47,15.88,3.67
2010,"URY",35.73,18.56,3.5
2015,"URY",35.3,22.3,3.6
1980,"USA",3.17,49.03,16.74
1985,"USA",4.6,40.88,18.51
1990,"USA",5.57,35.98,20.71
1995,"USA",2.07,38.26,20.4
2000,"USA",1.95,30.16,22.97
2005,"USA",1.86,35.99,22.39
2010,"USA",2.03,36.19,26.76
2015,"USA",1.7,34.4,27.8
1980,"VEN",12.94,10.19,2.45
1985,"VEN",14.91,7.61,2.49
1990,"VEN",18.09,9.47,2.43
1995,"VEN",31.08,8.35,2.52
2000,"VEN",32.91,13.17,2.7
2005,"VEN",31.18,18.99,2.97
2010,"VEN",26.67,31.94,2.96
2015,"VEN",23.3,39.9,3.2
1980,"VNM",18.06,12.18,0.46
1985,"VNM",29.06,7.51,0.88
1990,"VNM",39.94,3.31,1.02
1995,"VNM",36.62,6.14,1.56
2000,"VNM",31.02,9.35,2.21
2005,"VNM",23.35,13.8,2.99
2010,"VNM",14.29,19.43,3.27
2015,"VNM",11.5,23.7,3.9
1980,"YEM",1.74,0.22,0.07
1985,"YEM",2.97,1.21,0.21
1990,"YEM",4.81,2.85,0.4
1995,"YEM",6.66,3.93,0.72
2000,"YEM",8.35,6,0.94
2005,"YEM",8.59,8.57,1.21
2010,"YEM",10.56,10.68,1.5
2015,"YEM",15.2,12.9,1.7
1980,"ZAF",13.16,9.27,0.16
1985,"ZAF",6.79,4.83,0.16
1990,"ZAF",18.68,11.07,0.42
1995,"ZAF",21.22,26.25,0.53
2000,"ZAF",7.28,18.46,0.53
2005,"ZAF",7.09,30.96,0.36
2010,"ZAF",6.22,53.9,0.32
2015,"ZAF",5.6,59.2,0.3
1980,"ZMB",15.67,5.41,0.15
1985,"ZMB",18.57,8.39,0.16
1990,"ZMB",19.21,12.99,0.12
1995,"ZMB",27.87,11.43,0.79
2000,"ZMB",29.46,11.35,0.77
2005,"ZMB",31.96,11.69,0.61
2010,"ZMB",27.45,16.53,0.49
2015,"ZMB",22.4,17.6,0.5
1980,"ZWE",20.03,7.92,1.61
1985,"ZWE",19.51,12.56,2.01
1990,"ZWE",20.76,20.75,1.83
1995,"ZWE",22.75,18.69,1.32
2000,"ZWE",19.17,7.19,0.53
2005,"ZWE",23.24,8.04,0.44
2010,"ZWE",26.68,6.83,0.38
2015,"ZWE",26.3,5.8,0.4
