"iso3c","year","ud"
"ALB","2009",12.6
"ALB","2010",12.9
"ALB","2011",13.3
"ALB","2012",14.1
"ALB","2013",13.3
"ARG","2001",42
"ARG","2005",37
"ARG","2008",30.7
"ARG","2009",31.9
"ARG","2010",30.1
"ARG","2011",31.8
"ARG","2012",30
"ARG","2013",30.4
"ARG","2014",27.7
"ARM","2009",38.3
"ARM","2010",35.8
"ARM","2011",36.6
"ARM","2012",35.2
"ARM","2013",33.9
"ARM","2015",32.2
"AUS","2000",24.7
"AUS","2001",24.5
"AUS","2002",23.1
"AUS","2003",23
"AUS","2004",22.7
"AUS","2005",22.4
"AUS","2006",20.3
"AUS","2007",18.9
"AUS","2008",18.9
"AUS","2009",19.7
"AUS","2010",18.3
"AUS","2011",18.4
"AUS","2012",18.2
"AUS","2013",17
"AUS","2014",15.1
"AUS","2015",15
"AUS","2016",14.5
"AUT","2000",36.9
"AUT","2001",36.2
"AUT","2002",36
"AUT","2003",34.6
"AUT","2004",34.8
"AUT","2005",33.8
"AUT","2006",31.6
"AUT","2007",30.4
"AUT","2008",29.6
"AUT","2009",29.3
"AUT","2010",28.9
"AUT","2011",28.3
"AUT","2012",28
"AUT","2013",27.8
"AUT","2014",27.7
"AUT","2015",27.4
"AUT","2016",26.9
"BEL","2000",56.2
"BEL","2001",56.4
"BEL","2002",55.6
"BEL","2003",54.2
"BEL","2004",54
"BEL","2005",53.7
"BEL","2006",54.9
"BEL","2007",54.7
"BEL","2008",54.5
"BEL","2009",54.9
"BEL","2010",53.8
"BEL","2011",55.1
"BEL","2012",55
"BEL","2013",55.1
"BEL","2014",53.8
"BEL","2015",54.2
"BGR","2011",13.9
"BGR","2012",11.4
"BGR","2013",14
"BGR","2014",13.9
"BGR","2015",13.6
"BGR","2016",13.7
"BIH","2012",30
"BLZ","2011",9.5
"BLZ","2012",9.1
"BMU","2009",22.2
"BMU","2010",20.4
"BMU","2011",21.7
"BMU","2012",23
"BOL","2006",26.6
"BOL","2014",39.1
"BRA","2016",18.9
"BRA","2004",18.5
"BRA","2005",18.9
"BRA","2006",19.1
"BRA","2007",18.2
"BRA","2008",18.6
"BRA","2009",18.1
"BRA","2011",17.5
"BRA","2012",16.9
"BRA","2013",16.2
"BRA","2014",16.9
"BRA","2015",19.5
"CAN","2000",30.1
"CAN","2001",30.2
"CAN","2002",30.1
"CAN","2003",30.1
"CAN","2004",29.8
"CAN","2005",29.8
"CAN","2006",29.4
"CAN","2007",29.3
"CAN","2008",29.1
"CAN","2009",29.4
"CAN","2010",29.3
"CAN","2011",29
"CAN","2012",29.3
"CAN","2013",29.2
"CAN","2014",28.4
"CAN","2015",28.6
"CAN","2016",28.4
"CHE","2000",20.2
"CHE","2001",19.7
"CHE","2002",19.9
"CHE","2003",19.9
"CHE","2004",19.5
"CHE","2005",19.3
"CHE","2006",18.9
"CHE","2007",18.5
"CHE","2008",17.5
"CHE","2009",17.3
"CHE","2010",17.6
"CHE","2011",17
"CHE","2012",16.6
"CHE","2013",16.6
"CHE","2014",16.1
"CHE","2015",15.7
"CHL","2000",14.8
"CHL","2001",14.6
"CHL","2002",14.8
"CHL","2003",15.6
"CHL","2004",15.6
"CHL","2005",15.1
"CHL","2006",14.5
"CHL","2007",14.8
"CHL","2008",16.1
"CHL","2009",17.3
"CHL","2010",15.8
"CHL","2011",15.7
"CHL","2012",16.6
"CHL","2013",16.4
"CHL","2014",17
"CHL","2015",17.9
"CHL","2016",19.6
"CHN","2008",30.4
"CHN","2009",32.7
"CHN","2010",34.7
"CHN","2011",37.8
"CHN","2012",41.2
"CHN","2013",42.6
"CHN","2014",43.2
"CHN","2015",44.9
"CMR","2010",5.4
"CMR","2014",6.9
"COL","2008",9.8
"COL","2009",9.7
"COL","2010",9.4
"COL","2011",9.7
"COL","2012",9.9
"COL","2013",9.8
"COL","2014",9.7
"COL","2015",9.5
"COL","2016",9.5
"CRI","2013",13.7
"CRI","2014",12.4
"CRI","2015",18.6
"CRI","2016",19.4
"CUB","2008",81.4
"CYP","2000",65.1
"CYP","2001",62.1
"CYP","2002",63.2
"CYP","2003",64
"CYP","2004",62.7
"CYP","2005",59.8
"CYP","2006",58.1
"CYP","2007",54.6
"CYP","2008",52.9
"CYP","2009",52.4
"CYP","2010",50
"CYP","2011",48.6
"CYP","2012",48.5
"CYP","2013",48.6
"CYP","2014",47.7
"CZE","2000",27.2
"CZE","2001",23.8
"CZE","2002",22.4
"CZE","2003",22.3
"CZE","2004",20.6
"CZE","2005",19.1
"CZE","2006",18.1
"CZE","2007",17.4
"CZE","2008",16.9
"CZE","2009",16.7
"CZE","2010",16.1
"CZE","2011",15.4
"CZE","2012",14.8
"CZE","2013",13.6
"CZE","2014",12.9
"CZE","2015",12
"CZE","2016",10.5
"DEU","2000",24.6
"DEU","2001",23.7
"DEU","2002",23.5
"DEU","2003",23
"DEU","2004",22.2
"DEU","2005",21.5
"DEU","2006",20.6
"DEU","2007",19.8
"DEU","2008",19
"DEU","2009",18.8
"DEU","2010",18.9
"DEU","2011",18.4
"DEU","2012",18.3
"DEU","2013",18
"DEU","2014",17.7
"DEU","2015",17.6
"DEU","2016",17
"DNK","2000",73.6
"DNK","2001",73
"DNK","2002",72.4
"DNK","2003",72
"DNK","2004",71.5
"DNK","2005",70.9
"DNK","2006",68.4
"DNK","2007",67.8
"DNK","2008",66.2
"DNK","2009",68.4
"DNK","2010",69.2
"DNK","2011",70.1
"DNK","2012",69.8
"DNK","2013",69.3
"DNK","2014",69.3
"DNK","2015",68.6
"DNK","2016",67.2
"DOM","2008",8.8
"DOM","2009",9.3
"DOM","2010",9.3
"DOM","2011",9.2
"DOM","2012",10.3
"DOM","2013",11.1
"DOM","2014",9.9
"DOM","2015",11
"EGY","2004",40.6
"EGY","2007",27.5
"EGY","2012",43.2
"ESP","2000",16.5
"ESP","2001",16.3
"ESP","2002",16
"ESP","2003",15.8
"ESP","2004",15.3
"ESP","2005",14.5
"ESP","2006",14.3
"ESP","2007",15.5
"ESP","2008",17.1
"ESP","2009",17.5
"ESP","2010",17.2
"ESP","2011",16.8
"ESP","2012",17
"ESP","2013",16.8
"ESP","2014",15.6
"ESP","2015",13.9
"EST","2000",14
"EST","2001",14
"EST","2002",12.6
"EST","2003",11
"EST","2004",9.4
"EST","2005",8.7
"EST","2006",8.4
"EST","2007",7.6
"EST","2008",6.2
"EST","2009",7.6
"EST","2010",8.2
"EST","2011",7
"EST","2012",6
"EST","2013",5.6
"EST","2014",5.3
"EST","2015",4.5
"ETH","2005",6.5
"ETH","2009",6.3
"ETH","2010",8.1
"ETH","2013",9.6
"FIN","2000",74.6
"FIN","2001",74.3
"FIN","2002",73.2
"FIN","2003",72.6
"FIN","2004",71.2
"FIN","2005",70.4
"FIN","2006",70.1
"FIN","2007",70.2
"FIN","2008",69.5
"FIN","2009",68.9
"FIN","2010",68.3
"FIN","2011",67.3
"FIN","2012",67.3
"FIN","2013",66.3
"FIN","2014",66.7
"FIN","2015",66.5
"FIN","2016",64.6
"FRA","2000",8
"FRA","2001",7.9
"FRA","2002",8.1
"FRA","2003",8.4
"FRA","2004",8.1
"FRA","2005",8
"FRA","2006",8
"FRA","2007",7.9
"FRA","2008",7.8
"FRA","2009",7.9
"FRA","2010",8
"FRA","2011",8.1
"FRA","2012",8.1
"FRA","2013",8.1
"FRA","2014",8
"FRA","2015",7.9
"GBR","2000",29.8
"GBR","2001",29.3
"GBR","2002",28.8
"GBR","2003",29.3
"GBR","2004",28.8
"GBR","2005",28.6
"GBR","2006",28.3
"GBR","2007",28
"GBR","2008",27.5
"GBR","2009",27.4
"GBR","2010",26.6
"GBR","2011",26
"GBR","2012",26.1
"GBR","2013",25.6
"GBR","2014",25
"GBR","2015",24.7
"GBR","2016",23.5
"GHA","2008",24.3
"GHA","2009",23.9
"GHA","2010",23.5
"GHA","2011",22.9
"GHA","2012",22.4
"GHA","2013",21.8
"GHA","2014",21.4
"GHA","2015",21
"GHA","2016",20.6
"GRC","2001",24.9
"GRC","2004",24.1
"GRC","2007",22.6
"GRC","2010",22.2
"GRC","2013",23
"GRC","2016",18.6
"GTM","2004",3.6
"GTM","2010",3.2
"GTM","2011",3
"GTM","2012",2.7
"GTM","2013",2.4
"GTM","2014",2.3
"GTM","2015",3
"GTM","2016",2.6
"HKG","2004",23
"HKG","2005",22.4
"HKG","2006",22.4
"HKG","2007",22.2
"HKG","2008",22.7
"HKG","2009",23.7
"HKG","2010",24.6
"HKG","2011",24.7
"HKG","2012",24.8
"HKG","2013",24.8
"HKG","2014",24.3
"HKG","2015",25.3
"HKG","2016",26.1
"HRV","2013",29.4
"HRV","2014",27.4
"HRV","2015",26.7
"HRV","2016",25.8
"HUN","2001",19.7
"HUN","2003",17.7
"HUN","2005",17.2
"HUN","2007",14.9
"HUN","2008",14.4
"HUN","2012",11.8
"HUN","2014",10.2
"HUN","2015",9.4
"HUN","2016",8.5
"IDN","2001",36.4
"IDN","2002",27.1
"IDN","2006",9.9
"IDN","2007",9.2
"IDN","2008",8.7
"IDN","2009",9.8
"IDN","2012",7
"IND","2004",13.8
"IND","2009",12.9
"IND","2011",12.8
"IRL","2000",38
"IRL","2001",38
"IRL","2002",36.1
"IRL","2003",37.5
"IRL","2004",35.7
"IRL","2005",33.8
"IRL","2006",32.2
"IRL","2007",31.3
"IRL","2008",31.8
"IRL","2009",33
"IRL","2010",32.5
"IRL","2011",32.4
"IRL","2012",31.1
"IRL","2013",29.5
"IRL","2014",27.3
"IRL","2015",26.5
"IRL","2016",24.4
"ISL","2003",86.5
"ISL","2004",84
"ISL","2005",84
"ISL","2006",85.1
"ISL","2007",84.8
"ISL","2008",84.6
"ISL","2009",84.9
"ISL","2010",85.2
"ISL","2011",85
"ISL","2012",85.1
"ISL","2013",88.9
"ISL","2014",90.4
"ISL","2015",91.6
"ISL","2016",90.4
"ISR","2012",25
"ISR","2016",28
"ITA","2000",34.4
"ITA","2001",33.8
"ITA","2002",33.4
"ITA","2003",33.2
"ITA","2004",33.6
"ITA","2005",33.3
"ITA","2006",33.1
"ITA","2007",33.5
"ITA","2008",33.4
"ITA","2009",34.7
"ITA","2010",35.5
"ITA","2011",35.8
"ITA","2012",36.3
"ITA","2013",36.8
"ITA","2014",36.4
"ITA","2015",35.7
"ITA","2016",34.4
"JPN","2000",21.5
"JPN","2001",20.7
"JPN","2002",20.2
"JPN","2003",19.6
"JPN","2004",19.2
"JPN","2005",18.7
"JPN","2006",18.2
"JPN","2007",18.1
"JPN","2008",18
"JPN","2009",18.4
"JPN","2010",18.3
"JPN","2011",18
"JPN","2012",17.9
"JPN","2013",17.7
"JPN","2014",17.5
"JPN","2015",17.4
"JPN","2016",17.3
"KAZ","2009",37.6
"KAZ","2010",39.8
"KAZ","2011",39.2
"KAZ","2012",49.2
"KHM","2012",9.6
"KOR","2000",11.4
"KOR","2001",11.5
"KOR","2002",10.8
"KOR","2003",10.8
"KOR","2004",10.3
"KOR","2005",9.9
"KOR","2006",10
"KOR","2007",10.6
"KOR","2008",10.3
"KOR","2009",10
"KOR","2010",9.7
"KOR","2011",9.9
"KOR","2012",10.1
"KOR","2013",10.2
"KOR","2014",10.2
"KOR","2015",10.1
"LAO","2010",15.5
"LKA","2015",14.4
"LKA","2016",15.3
"LSO","2009",4.9
"LSO","2010",5.8
"LTU","2001",16.8
"LTU","2003",13.6
"LTU","2006",9.8
"LTU","2007",9.3
"LTU","2008",8.9
"LTU","2009",10
"LTU","2010",10.1
"LTU","2011",9.7
"LTU","2012",9
"LTU","2013",8.4
"LTU","2014",8.1
"LTU","2015",7.9
"LTU","2016",7.7
"LUX","2003",42.5
"LUX","2006",40.1
"LUX","2008",36.5
"LUX","2010",35.1
"LUX","2012",35.3
"LUX","2014",34.1
"LUX","2016",32
"LVA","2003",20.9
"LVA","2006",17.9
"LVA","2007",16.6
"LVA","2008",15.1
"LVA","2009",15.1
"LVA","2010",15
"LVA","2011",13.6
"LVA","2012",13.1
"LVA","2013",12.8
"LVA","2014",12.7
"LVA","2015",12.6
"MDA","2013",28.3
"MDA","2016",23.9
"MEX","2009",15.3
"MEX","2010",14.2
"MEX","2011",14.4
"MEX","2012",13.5
"MEX","2013",13.6
"MEX","2014",13.5
"MEX","2015",12.9
"MEX","2016",12.5
"MKD","2010",28
"MLT","2000",60.3
"MLT","2001",59.1
"MLT","2002",59.3
"MLT","2003",58.5
"MLT","2004",59
"MLT","2005",56.4
"MLT","2006",56.9
"MLT","2007",56.5
"MLT","2008",52.3
"MLT","2009",52.2
"MLT","2010",52.2
"MLT","2011",52.6
"MLT","2012",53.1
"MLT","2013",52.7
"MLT","2014",51.6
"MLT","2015",51.4
"MMR","2015",1
"MNE","2012",25.9
"MUS","2007",28.2
"MUS","2008",24
"MUS","2009",20.6
"MUS","2010",21.7
"MUS","2011",25.2
"MUS","2012",25.1
"MUS","2015",28
"MUS","2016",28.1
"MWI","2006",20.6
"MWI","2013",5.5
"MYS","2000",10.7
"MYS","2001",11.1
"MYS","2002",11
"MYS","2003",10.5
"MYS","2004",10.5
"MYS","2005",10
"MYS","2006",10.5
"MYS","2007",10.3
"MYS","2008",10.1
"MYS","2009",9.9
"MYS","2010",9.1
"MYS","2011",8.5
"MYS","2012",9.3
"MYS","2013",9.4
"MYS","2014",9.2
"MYS","2015",8.8
"MYS","2016",8.8
"NAM","2000",48
"NAM","2004",30.5
"NAM","2016",17.5
"NER","2008",35.6
"NIC","2009",6.7
"NIC","2010",5.3
"NLD","2000",22.6
"NLD","2001",21.8
"NLD","2002",21.6
"NLD","2003",21.4
"NLD","2004",21.3
"NLD","2005",21
"NLD","2006",20.3
"NLD","2007",19.4
"NLD","2008",19.3
"NLD","2009",19.2
"NLD","2010",19.3
"NLD","2011",19.3
"NLD","2012",18.8
"NLD","2013",18.2
"NLD","2014",18.1
"NLD","2015",17.7
"NLD","2016",17.3
"NOR","2000",54.1
"NOR","2001",53.7
"NOR","2002",54.3
"NOR","2003",54.9
"NOR","2004",54.8
"NOR","2005",54.7
"NOR","2006",53.9
"NOR","2007",52.8
"NOR","2008",52.5
"NOR","2009",53.4
"NOR","2010",53.6
"NOR","2011",53.3
"NOR","2012",53.1
"NOR","2013",51.8
"NOR","2014",52.5
"NOR","2015",52.5
"NZL","2000",22.4
"NZL","2001",22.3
"NZL","2002",21.8
"NZL","2003",21.7
"NZL","2004",21.7
"NZL","2005",22.3
"NZL","2006",21.8
"NZL","2007",20.8
"NZL","2008",21.4
"NZL","2009",21.5
"NZL","2010",21.4
"NZL","2011",20.5
"NZL","2012",20.3
"NZL","2013",19.4
"NZL","2014",18.5
"NZL","2015",17.9
"PAK","2004",6.9
"PAK","2005",6.4
"PAK","2006",5.9
"PAK","2007",5.5
"PAK","2008",5.6
"PAN","2012",10
"PAN","2013",10.1
"PAN","2014",10.8
"PAN","2015",11
"PAN","2016",11.9
"PER","2009",4.4
"PER","2010",4
"PER","2011",4
"PER","2012",4.2
"PER","2013",5.2
"PER","2014",5.2
"PER","2015",5
"PER","2016",5.7
"PHL","2000",27.1
"PHL","2005",11.7
"PHL","2006",11.1
"PHL","2007",11
"PHL","2008",10.9
"PHL","2009",10.6
"PHL","2010",8.7
"PHL","2011",8.7
"PHL","2012",8.5
"PHL","2013",8.5
"PHL","2014",8.7
"POL","2000",17.6
"POL","2001",15.5
"POL","2002",14.1
"POL","2003",18.8
"POL","2004",19
"POL","2005",18.1
"POL","2006",16.3
"POL","2007",15.6
"POL","2008",14.9
"POL","2009",14.6
"POL","2010",14.6
"POL","2011",13.6
"POL","2012",12.7
"POL","2013",12.9
"POL","2014",12.4
"POL","2015",12.1
"POL","2016",12.1
"PRT","2000",21.6
"PRT","2001",22.4
"PRT","2002",20.7
"PRT","2003",21.3
"PRT","2004",21.7
"PRT","2005",21.6
"PRT","2006",21.2
"PRT","2007",21.2
"PRT","2008",20.9
"PRT","2009",20.6
"PRT","2010",19.8
"PRT","2011",18.8
"PRT","2012",18.9
"PRT","2014",17.1
"PRT","2015",16.3
"PRY","2011",7.2
"PRY","2012",4.9
"PRY","2013",5.5
"PRY","2014",6.5
"PRY","2015",6.7
"ROU","2002",34.7
"ROU","2003",35.9
"ROU","2006",36
"ROU","2007",36
"ROU","2008",35.6
"ROU","2009",34.1
"ROU","2010",35.4
"ROU","2011",30.5
"ROU","2012",26.7
"ROU","2013",25.2
"RUS","2006",43.7
"RUS","2007",41.4
"RUS","2008",39.2
"RUS","2009",38.5
"RUS","2010",37.1
"RUS","2011",33.9
"RUS","2012",32.7
"RUS","2013",31.9
"RUS","2014",31.2
"RUS","2015",30.5
"SEN","2015",22.4
"SGP","2000",16.1
"SGP","2001",16.5
"SGP","2002",19.3
"SGP","2003",20.5
"SGP","2004",20.1
"SGP","2005",19.4
"SGP","2006",18.6
"SGP","2007",18.1
"SGP","2008",17.5
"SGP","2009",17.6
"SGP","2010",18
"SGP","2011",18.9
"SGP","2012",19.4
"SGP","2013",20.4
"SGP","2014",20.8
"SGP","2015",21.2
"SLE","2008",41
"SLV","2009",15.2
"SLV","2010",15.2
"SLV","2011",14.1
"SLV","2012",9.8
"SLV","2013",16
"SLV","2014",13.6
"SLV","2015",14
"SLV","2016",19
"SRB","2007",29.1
"SRB","2010",27.9
"SVK","2000",32.3
"SVK","2001",30.5
"SVK","2002",27.4
"SVK","2003",26.2
"SVK","2004",23.7
"SVK","2005",22.8
"SVK","2006",20.6
"SVK","2007",18.8
"SVK","2008",17.2
"SVK","2009",16
"SVK","2010",15.2
"SVK","2011",14.1
"SVK","2012",13.6
"SVK","2013",13.3
"SVK","2014",12
"SVK","2015",11.2
"SVN","2013",26.5
"SVN","2014",28
"SVN","2015",25.1
"SVN","2016",26.9
"SWE","2000",79
"SWE","2001",77.5
"SWE","2002",77.4
"SWE","2003",77.5
"SWE","2004",76.4
"SWE","2005",75.7
"SWE","2006",74.3
"SWE","2007",70.8
"SWE","2008",68.3
"SWE","2009",68.4
"SWE","2010",68.2
"SWE","2011",67.5
"SWE","2012",67.5
"SWE","2013",67.7
"SWE","2014",67.3
"SWE","2015",67
"SYC","2011",2.1
"THA","2008",3.2
"THA","2009",3
"THA","2010",3.1
"THA","2011",3.4
"THA","2012",3.5
"THA","2013",3.9
"THA","2014",3.4
"THA","2015",3.5
"THA","2016",3.5
"TTO","2010",21
"TTO","2013",19.8
"TUN","2011",20.4
"TUR","2013",6.3
"TUR","2014",6.9
"TUR","2015",8
"TUR","2016",8.2
"TWN","2004",41.7
"TWN","2005",40.8
"TWN","2006",39.6
"TWN","2007",39.1
"TWN","2008",38.5
"TWN","2009",39.5
"TWN","2010",39.3
"TZA","2010",35.4
"TZA","2011",34.1
"TZA","2012",31.5
"TZA","2013",27.5
"TZA","2014",25.3
"TZA","2015",24.3
"UGA","2005",1.5
"UKR","2008",56.9
"UKR","2009",56.8
"UKR","2010",56.5
"UKR","2011",55.3
"UKR","2012",54.7
"UKR","2014",46.8
"UKR","2015",43.8
"URY","2009",16.6
"URY","2010",28.8
"URY","2011",28.1
"URY","2012",29.2
"URY","2013",30.1
"USA","2000",12.9
"USA","2001",12.9
"USA","2002",12.8
"USA","2003",12.4
"USA","2004",12
"USA","2005",12
"USA","2006",11.5
"USA","2007",11.6
"USA","2008",11.9
"USA","2009",11.8
"USA","2010",11.9
"USA","2011",11.7
"USA","2012",10.8
"USA","2013",10.8
"USA","2014",10.7
"USA","2015",10.6
"USA","2016",10.3
"VCT","2009",5.3
"VCT","2010",4.9
"VEN","2011",0.2
"VEN","2012",0.2
"VNM","2011",14.6
"WSM","2013",11.8
"ZAF","2010",30.1
"ZAF","2011",29.3
"ZAF","2012",29.7
"ZAF","2013",28.7
"ZAF","2014",29
"ZAF","2015",27.4
"ZAF","2016",28.1
"ZMB","2008",42.1
"ZMB","2012",26.7
"ZMB","2014",25.9
"ZWE","2000",12.8
"ZWE","2010",7.5
